event_id,user_id,event_name,event_timestamp,device_type,channel,product_id
2634,U00345,view_home,2026-08-01 07:06:41,mobile,organic_search,
2373,U00316,view_home,2026-08-01 08:16:16,mobile,email,
2374,U00316,view_product,2026-08-01 08:17:35,mobile,email,P0120
2621,U00343,view_home,2026-08-01 09:03:56,mobile,organic_search,
2622,U00343,view_product,2026-08-01 09:06:51,mobile,organic_search,P0013
2623,U00343,add_to_cart,2026-08-01 09:07:44,mobile,organic_search,P0013
2624,U00343,checkout,2026-08-01 09:08:42,mobile,organic_search,P0013
2625,U00343,purchase,2026-08-01 09:09:18,mobile,organic_search,P0013
654,U00087,view_home,2026-08-01 09:51:21,desktop,organic_search,
655,U00087,view_product,2026-08-01 09:52:27,desktop,organic_search,P0118
656,U00087,view_home,2026-08-01 09:53:03,desktop,organic_search,
657,U00087,view_product,2026-08-01 09:54:25,desktop,organic_search,P0091
658,U00087,view_home,2026-08-01 09:54:56,desktop,organic_search,
659,U00087,view_product,2026-08-01 09:56:26,desktop,organic_search,P0096
1044,U00137,view_home,2026-08-01 10:04:24,mobile,social,
1045,U00137,view_product,2026-08-01 10:05:51,mobile,social,P0036
1046,U00137,view_home,2026-08-01 10:06:50,mobile,social,
1047,U00137,view_product,2026-08-01 10:07:43,mobile,social,P0110
1048,U00137,view_home,2026-08-01 10:08:32,mobile,social,
1049,U00137,view_product,2026-08-01 10:09:57,mobile,social,P0104
324,U00045,view_home,2026-08-01 11:02:51,desktop,paid_search,
325,U00045,view_product,2026-08-01 11:03:05,desktop,paid_search,P0070
326,U00045,add_to_cart,2026-08-01 11:04:13,desktop,paid_search,P0070
1682,U00221,view_home,2026-08-01 11:39:40,desktop,social,
2181,U00289,view_home,2026-08-01 11:59:49,desktop,social,
2182,U00289,view_product,2026-08-01 12:02:22,desktop,social,P0058
2183,U00289,add_to_cart,2026-08-01 12:05:14,desktop,social,P0058
2184,U00289,checkout,2026-08-01 12:05:40,desktop,social,P0058
897,U00118,view_home,2026-08-01 12:05:55,desktop,direct,
2185,U00289,purchase,2026-08-01 12:06:11,desktop,social,P0058
898,U00118,view_product,2026-08-01 12:06:39,desktop,direct,P0014
899,U00118,view_home,2026-08-01 12:07:10,desktop,direct,
900,U00118,view_product,2026-08-01 12:09:23,desktop,direct,P0109
2810,U00366,view_home,2026-08-01 12:32:22,tablet,paid_search,
2811,U00366,view_product,2026-08-01 12:33:54,tablet,paid_search,P0015
